"TAG_ID","TAG_NAME","TAG_DESCRIPTION","CREATED_AT"
2,"快手菜","30分钟以内完成的简单菜",22-DEC-25 02.09.06.216000000 PM
3,"家常菜","日常家庭餐桌常见的菜",22-DEC-25 02.09.06.226000000 PM
4,"高蛋白","适合健身增肌的高蛋白菜",22-DEC-25 02.09.06.228000000 PM
5,"低脂","脂肪含量低的健康菜",22-DEC-25 02.09.06.230000000 PM
6,"儿童食品","适合儿童食用的菜谱",22-DEC-25 02.09.06.232000000 PM
7,"素食","不含肉类的植物性菜",22-DEC-25 02.09.06.234000000 PM
8,"清蒸","用清蒸方法制作的菜",22-DEC-25 02.09.06.236000000 PM
9,"炒制","用炒锅快速炒制的菜",22-DEC-25 02.09.06.238000000 PM
10,"烤制","用烤箱或火烤制作的菜",22-DEC-25 02.09.06.240000000 PM
11,"汤类","各种汤品类菜谱",22-DEC-25 02.09.06.242000000 PM
12,"甜点","甜品和糕点类菜谱",22-DEC-25 02.09.06.244000000 PM
13,"面食","面条面食类菜谱",22-DEC-25 02.09.06.246000000 PM
