"INGREDIENT_ID","INGREDIENT_NAME","CATEGORY","DESCRIPTION","CREATED_AT"
2,"番茄","蔬菜","新鲜番茄，富含番茄红素和维生素C",22-DEC-25 02.11.05.441000000 PM
3,"洋葱","蔬菜","提味的调味蔬菜，含硫化物",22-DEC-25 02.11.05.455000000 PM
4,"大蒜","蔬菜","香味十足的调味蔬菜，含有大蒜素",22-DEC-25 02.11.05.459000000 PM
5,"青椒","蔬菜","清爽的甜椒，含丰富维生素A",22-DEC-25 02.11.05.462000000 PM
6,"生菜","蔬菜","爽脆的沙拉菜，低热量",22-DEC-25 02.11.05.465000000 PM
7,"冬瓜","蔬菜","清热利湿的蔬菜，利尿效果好",22-DEC-25 02.11.05.468000000 PM
8,"土豆","蔬菜","淀粉丰富的根茎蔬菜，营养均衡",22-DEC-25 02.11.05.471000000 PM
9,"菠菜","蔬菜","绿叶菜，含铁丰富，营养高",22-DEC-25 02.11.05.474000000 PM
10,"鸡肉","肉类","白肉，低脂高蛋白",22-DEC-25 02.11.52.448000000 PM
11,"鸡腿","肉类","鸡腿肉，含骨，风味丰富",22-DEC-25 02.11.52.451000000 PM
12,"鸡蛋","肉类","完全蛋白，含丰富卵磷脂",22-DEC-25 02.11.52.453000000 PM
13,"猪肉","肉类","常见肉类，营养丰富",22-DEC-25 02.11.52.456000000 PM
14,"五花肉","肉类","猪肉中脂肪较多的部分，口感肥香",22-DEC-25 02.11.52.459000000 PM
15,"排骨","肉类","带骨的肋骨，汤料首选",22-DEC-25 02.11.52.461000000 PM
16,"虾","肉类","海鲜，低脂高蛋白，易消化",22-DEC-25 02.11.52.463000000 PM
17,"鱼","肉类","白肉鱼类，含Omega-3脂肪酸",22-DEC-25 02.11.52.465000000 PM
18,"盐","调味料","基础调味料，矿物质丰富",22-DEC-25 02.11.56.533000000 PM
19,"糖","调味料","甜味来源，能量物质",22-DEC-25 02.11.56.536000000 PM
20,"酱油","调味料","传统调味料，咸鲜味",22-DEC-25 02.11.56.539000000 PM
21,"醋","调味料","酸味来源，促进消化",22-DEC-25 02.11.56.542000000 PM
22,"油","调味料","烹饪用油，提供油脂",22-DEC-25 02.11.56.545000000 PM
23,"豆瓣酱","调味料","咸鲜辣的酱料，传统调味",22-DEC-25 02.11.56.548000000 PM
24,"番茄酱","调味料","番茄制品，酸酸甜甜",22-DEC-25 02.11.56.555000000 PM
25,"料酒","调味料","烹饪用酒，去腥增香",22-DEC-25 02.11.56.557000000 PM
26,"黑胡椒","调味料","香料，增加风味深度",22-DEC-25 02.11.56.560000000 PM
27,"姜","调味料","暖胃调味，驱寒温阳",22-DEC-25 02.11.56.564000000 PM
28,"牛奶","乳制品","新鲜牛奶，含钙丰富",22-DEC-25 02.11.59.543000000 PM
29,"黄油","乳制品","乳脂提取，烘焙常用",22-DEC-25 02.11.59.547000000 PM
30,"米","谷物","白米，日常主食",22-DEC-25 02.11.59.549000000 PM
31,"面粉","谷物","小麦粉，烘焙基础",22-DEC-25 02.11.59.552000000 PM
32,"面条","谷物","面食，方便快手",22-DEC-25 02.11.59.554000000 PM
33,"豆腐","其他","植物蛋白，营养丰富",22-DEC-25 02.12.02.107000000 PM
34,"蜂蜜","其他","天然甜味剂，营养价值高",22-DEC-25 02.12.02.110000000 PM
35,"坚果","其他","营养丰富，富含健康脂肪",22-DEC-25 02.12.02.112000000 PM
36,"淡奶油","其他","烘焙用奶油，奶香浓郁",22-DEC-25 02.12.02.115000000 PM
