"INDEX_NAME","TABLE_NAME","UNIQUENESS"
"SYS_C0012715","ALLERGENS","UNIQUE"
"SYS_C0012716","ALLERGENS","UNIQUE"
"IDX_COLLECTION_RC_ID","COLLECTION_RECIPES","NONUNIQUE"
"IDX_COLLECTION_RC_RECIPE_ID","COLLECTION_RECIPES","NONUNIQUE"
"SYS_C0012821","COLLECTION_RECIPES","UNIQUE"
"SYS_C0012778","COMMENTS","UNIQUE"
"IDX_COMMENTS_USER_ID","COMMENTS","NONUNIQUE"
"IDX_COMMENTS_CREATED_AT","COMMENTS","NONUNIQUE"
"IDX_COMMENTS_RECIPE_ID","COMMENTS","NONUNIQUE"
"SYS_C0012784","COMMENT_HELPFULNESS","UNIQUE"
"UK_RECIPE_STEP","COOKING_STEPS","UNIQUE"
"SYS_C0012742","COOKING_STEPS","UNIQUE"
"IDX_FOLLOWERS_USER_ID","FOLLOWERS","NONUNIQUE"
"IDX_FOLLOWERS_FOLLOWER_ID","FOLLOWERS","NONUNIQUE"
"SYS_C0012796","FOLLOWERS","UNIQUE"
"SYS_C0012709","INGREDIENTS","UNIQUE"
"SYS_C0012710","INGREDIENTS","UNIQUE"
"IDX_INGREDIENTS_CATEGORY","INGREDIENTS","NONUNIQUE"
"SYS_C0012751","INGREDIENT_ALLERGENS","UNIQUE"
"SYS_C0012757","INGREDIENT_SUBSTITUTIONS","UNIQUE"
"IDX_MEAL_PLANS_USER_ID","MEAL_PLANS","NONUNIQUE"
"SYS_C0012843","MEAL_PLANS","UNIQUE"
"IDX_MEAL_PLAN_ENTRIES_PLAN_ID","MEAL_PLAN_ENTRIES","NONUNIQUE"
"SYS_C0012849","MEAL_PLAN_ENTRIES","UNIQUE"
"IDX_MEAL_PLAN_ENTRIES_DATE","MEAL_PLAN_ENTRIES","NONUNIQUE"
"SYS_C0012747","NUTRITION_INFO","UNIQUE"
"SYS_C0012746","NUTRITION_INFO","UNIQUE"
"UK_USER_RECIPE_RATING","RATINGS","UNIQUE"
"IDX_RATINGS_VALUE","RATINGS","NONUNIQUE"
"IDX_RATINGS_RECIPE_ID","RATINGS","NONUNIQUE"
"IDX_RATINGS_USER_ID","RATINGS","NONUNIQUE"
"SYS_C0012764","RATINGS","UNIQUE"
"SYS_C0012770","RATING_HELPFULNESS","UNIQUE"
"IDX_RECIPES_CREATED_AT","RECIPES","NONUNIQUE"
"IDX_RECIPES_CUISINE","RECIPES","NONUNIQUE"
"IDX_RECIPES_DIFFICULTY","RECIPES","NONUNIQUE"
"IDX_RECIPES_IS_PUBLISHED","RECIPES","NONUNIQUE"
"IDX_RECIPES_USER_ID","RECIPES","NONUNIQUE"
"SYS_C0012729","RECIPES","UNIQUE"
"IDX_COLLECTIONS_USER_ID","RECIPE_COLLECTIONS","NONUNIQUE"
"SYS_C0012817","RECIPE_COLLECTIONS","UNIQUE"
"SYS_C0012735","RECIPE_INGREDIENTS","UNIQUE"
"SYS_C0012806","RECIPE_TAGS","UNIQUE"
"IDX_SAVED_RECIPES_RECIPE_ID","SAVED_RECIPES","NONUNIQUE"
"IDX_SAVED_RECIPES_USER_ID","SAVED_RECIPES","NONUNIQUE"
"UK_USER_SAVED_RECIPE","SAVED_RECIPES","UNIQUE"
"SYS_C0012789","SAVED_RECIPES","UNIQUE"
"SYS_C0012826","SHOPPING_LISTS","UNIQUE"
"IDX_SHOPPING_LISTS_USER_ID","SHOPPING_LISTS","NONUNIQUE"
"SYS_C0012832","SHOPPING_LIST_ITEMS","UNIQUE"
"IDX_SLI_LIST_ID","SHOPPING_LIST_ITEMS","NONUNIQUE"
"SYS_C0012719","TAGS","UNIQUE"
"SYS_C0012718","TAGS","UNIQUE"
"SYS_C0012713","UNITS","UNIQUE"
"SYS_C0012712","UNITS","UNIQUE"
"IDX_USERS_STATUS","USERS","NONUNIQUE"
"SYS_C0012705","USERS","UNIQUE"
"SYS_C0012706","USERS","UNIQUE"
"SYS_C0012704","USERS","UNIQUE"
"SYS_C0012810","USER_ACTIVITY_LOG","UNIQUE"
"SYS_C0012801","USER_ALLERGIES","UNIQUE"
