"SYS_C0012006","ALLERGENS","UNIQUE"
"SYS_C0012007","ALLERGENS","UNIQUE"
"IDX_COLLECTION_RC_ID","COLLECTION_RECIPES","NONUNIQUE"
"IDX_COLLECTION_RC_RECIPE_ID","COLLECTION_RECIPES","NONUNIQUE"
"SYS_C0012116","COLLECTION_RECIPES","UNIQUE"
"SYS_C0012073","COMMENTS","UNIQUE"
"IDX_COMMENTS_USER_ID","COMMENTS","NONUNIQUE"
"IDX_COMMENTS_CREATED_AT","COMMENTS","NONUNIQUE"
"IDX_COMMENTS_RECIPE_ID","COMMENTS","NONUNIQUE"
"SYS_C0012079","COMMENT_HELPFULNESS","UNIQUE"
"UK_RECIPE_STEP","COOKING_STEPS","UNIQUE"
"SYS_C0012033","COOKING_STEPS","UNIQUE"
"IDX_FOLLOWERS_USER_ID","FOLLOWERS","NONUNIQUE"
"IDX_FOLLOWERS_FOLLOWER_ID","FOLLOWERS","NONUNIQUE"
"SYS_C0012091","FOLLOWERS","UNIQUE"
"IDX_INGREDIENTS_CATEGORY","INGREDIENTS","NONUNIQUE"
"SYS_C0012000","INGREDIENTS","UNIQUE"
"SYS_C0012001","INGREDIENTS","UNIQUE"
"SYS_C0012042","INGREDIENT_ALLERGENS","UNIQUE"
"SYS_C0012048","INGREDIENT_SUBSTITUTIONS","UNIQUE"
"IDX_MEAL_PLANS_USER_ID","MEAL_PLANS","NONUNIQUE"
"SYS_C0012147","MEAL_PLANS","UNIQUE"
"IDX_MEAL_PLAN_ENTRIES_PLAN_ID","MEAL_PLAN_ENTRIES","NONUNIQUE"
"SYS_C0012153","MEAL_PLAN_ENTRIES","UNIQUE"
"IDX_MEAL_PLAN_ENTRIES_DATE","MEAL_PLAN_ENTRIES","NONUNIQUE"
"SYS_C0012038","NUTRITION_INFO","UNIQUE"
"SYS_C0012037","NUTRITION_INFO","UNIQUE"
"UK_USER_RECIPE_RATING","RATINGS","UNIQUE"
"IDX_RATINGS_VALUE","RATINGS","NONUNIQUE"
"IDX_RATINGS_RECIPE_ID","RATINGS","NONUNIQUE"
"IDX_RATINGS_USER_ID","RATINGS","NONUNIQUE"
"SYS_C0012055","RATINGS","UNIQUE"
"SYS_C0012061","RATING_HELPFULNESS","UNIQUE"
"IDX_RECIPES_CREATED_AT","RECIPES","NONUNIQUE"
"IDX_RECIPES_CUISINE","RECIPES","NONUNIQUE"
"IDX_RECIPES_DIFFICULTY","RECIPES","NONUNIQUE"
"IDX_RECIPES_IS_PUBLISHED","RECIPES","NONUNIQUE"
"IDX_RECIPES_USER_ID","RECIPES","NONUNIQUE"
"SYS_C0012020","RECIPES","UNIQUE"
"IDX_COLLECTIONS_USER_ID","RECIPE_COLLECTIONS","NONUNIQUE"
"SYS_C0012112","RECIPE_COLLECTIONS","UNIQUE"
"SYS_C0012026","RECIPE_INGREDIENTS","UNIQUE"
"SYS_C0012101","RECIPE_TAGS","UNIQUE"
"IDX_SAVED_RECIPES_RECIPE_ID","SAVED_RECIPES","NONUNIQUE"
"IDX_SAVED_RECIPES_USER_ID","SAVED_RECIPES","NONUNIQUE"
"UK_USER_SAVED_RECIPE","SAVED_RECIPES","UNIQUE"
"SYS_C0012084","SAVED_RECIPES","UNIQUE"
"SYS_C0012121","SHOPPING_LISTS","UNIQUE"
"IDX_SHOPPING_LISTS_USER_ID","SHOPPING_LISTS","NONUNIQUE"
"SYS_C0012127","SHOPPING_LIST_ITEMS","UNIQUE"
"IDX_SLI_LIST_ID","SHOPPING_LIST_ITEMS","NONUNIQUE"
"SYS_C0012010","TAGS","UNIQUE"
"SYS_C0012009","TAGS","UNIQUE"
"SYS_C0012004","UNITS","UNIQUE"
"SYS_C0012003","UNITS","UNIQUE"
"SYS_C0011995","USERS","UNIQUE"
"SYS_C0011997","USERS","UNIQUE"
"IDX_USERS_STATUS","USERS","NONUNIQUE"
"SYS_C0011996","USERS","UNIQUE"
"SYS_C0012105","USER_ACTIVITY_LOG","UNIQUE"
"SYS_C0012096","USER_ALLERGIES","UNIQUE"
